iter	Passed	Remaining
245	1295416	3970504
246	1301782	3968590
247	1307057	3963336
248	1313048	3960240
249	1319142	3957426
250	1325327	3954860
251	1331219	3951398
252	1336582	3946351
253	1342645	3943360
254	1348315	3939195
255	1356014	3940918
256	1362796	3939914
257	1369309	3938090
258	1375271	3934655
259	1380134	3928073
260	1386354	3925347
261	1391928	3920776
262	1398812	3919866
263	1404892	3916669
264	1410581	3912368
265	1416827	3909591
266	1423317	3907460
267	1427486	3898954
268	1433099	3894407
269	1440060	3893496
270	1444924	3886901
271	1453081	3889128
272	1458138	3883027
273	1465445	3882895
274	1471093	3878338
275	1477261	3875136
276	1483990	3873375
277	1489481	3868365
278	1495245	3864056
279	1502555	3863713
280	1508728	3860410
281	1515602	3858874
282	1521148	3853933
283	1526622	3848809
284	1530788	3840399
285	1537040	3837226
286	1543347	3834168
287	1550643	3833536
288	1557234	3831121
289	1562849	3826286
290	1569499	3823968
291	1575543	3820154
292	1579823	3812065
293	1585422	3807171
294	1591229	3802767
295	1595524	3794760
296	1601375	3790461
297	1607518	3786838
298	1613142	3781983
299	1618892	3777415
300	1625158	3774039
301	1630925	3769490
302	1636980	3765596
303	1643237	3762149
304	1648447	3756297
305	1654971	3753431
306	1661712	3751031
307	1667675	3746855
308	1674094	3743687
309	1679839	3738997
310	1686280	3735843
311	1691933	3730929
312	1698329	3727642
313	1705162	3725291
314	1712782	3724622
315	1718190	3719122
316	1723653	3713740
317	1730720	3711796
318	1736521	3707119
319	1742548	3702915
320	1748743	3699056
321	1755358	3696066
322	1762566	3694296
323	1768997	3690870
324	1775041	3686623
325	1780333	3680811
326	1785124	3673971
327	1790813	3668983
328	1797080	3665170
329	1802831	3660294
330	1808517	3655281
331	1815082	3652033
332	1820930	3647328
333	1826796	3642654
334	1832793	3638231
335	1839497	3635197
336	1845601	3630960
337	1852118	3627521
338	1858372	3623552
339	1864479	3619283
340	1872584	3618865
341	1878398	3613994
342	1883670	3608079
343	1889650	3603519
344	1894920	3597603
345	1900495	3592266
346	1906234	3587237
347	1913056	3584231
348	1918672	3578956
349	1924458	3573995
350	1930312	3569153
351	1936500	3564921
352	1941775	3559004
353	1947380	3553694
354	1953476	3549274
355	1959897	3545431
356	1966088	3541161
357	1971338	3535192
358	1977090	3530125
359	1983530	3526276
360	1989318	3521259
361	1995302	3516582
362	2002652	3514296
363	2008084	3508630
364	2014088	3503962
365	2020127	3499346
366	2025888	3494243
367	2033160	3491731
368	2038007	3485048
369	2043989	3480306
370	2050397	3476279
371	2057220	3472942
372	2062977	3467793
373	2067886	3461221
374	2074635	3457725
375	2079897	3451744
376	2085365	3446107
377	2091392	3441392
378	2097567	3436911
379	2103050	3431293
380	2108859	3426204
381	2114728	3421210
382	2120235	3415626
383	2126428	3411145
384	2132726	3406822
385	2138458	3401589
386	2144155	3396298
387	2149398	3390288
388	2156713	3387536
389	2163480	3383905
390	2169790	3379545
391	2177158	3376817
392	2184012	3373271
393	2189202	3367148
394	2194988	3361944
395	2202638	3359580
396	2210327	3357248
397	2217481	3354080
398	2224875	3351254
399	2231084	3346626
400	2238406	3343654
401	2246011	3341081
402	2251827	3335833
403	2257545	3330438
404	2263735	3325734
405	2270809	3322317
406	2277429	3318220
407	2284601	3314911
408	2289260	3307953
409	2295272	3302953
410	2300878	3297366
411	2306433	3291706
412	2312466	3286726
413	2318156	3281255
414	2324937	3277322
415	2330586	3271784
416	2336213	3266217
417	2341733	3260500
418	2347198	3254707
419	2352193	3248267
420	2357976	3242918
421	2365083	3239379
422	2370993	3234191
423	2377133	3229312
424	2383179	3224301
425	2388833	3218757
426	2394617	3213385
427	2400248	3207808
428	2405941	3202313
429	2411601	3196774
430	2417413	3191434
431	2425118	3188581
432	2433668	3186813
433	2439082	3180922
434	2444423	3174941
435	2451510	3171219
436	2458637	3167535
437	2467090	3165536
438	2472754	3159944
439	2479968	3156323
440	2485653	3150749
441	2491994	3146002
442	2497956	3140771
443	2503039	3134436
444	2509656	3130021
445	2515151	3124201
446	2520997	3118817
447	2526975	3113594
448	2534038	3109699
449	2539993	3104436
450	2544826	3097803
451	2550391	3092067
452	2557702	3088439
453	2563261	3082688
454	2568818	3076935
455	2574558	3071402
456	2580396	3065984
457	2586055	3060353
458	2592088	3055162
459	2597912	3049722
460	2604623	3045319
461	2611431	3041017
462	2618731	3037276
463	2624753	3032042
464	2631854	3028047
465	2637767	3022677
466	2645685	3019593
467	2652198	3014892
468	2660061	3011711
469	2664875	3005072
470	2672518	3001618
471	2678112	2995854
472	2684437	2990906
473	2690379	2985526
474	2697332	2981261
475	2703001	2975572
476	2708937	2970176
477	2716319	2966356
478	2723884	2962722
479	2729659	2957130
480	2735722	2951850
481	2742403	2947230
482	2750269	2943869
483	2755744	2937941
484	2760351	2931094
485	2766122	2925487
486	2773663	2921744
487	2780497	2917243
488	2786224	2911576
489	2791243	2905171
490	2797042	2899581
491	2804014	2895201
492	2809471	2889253
493	2814890	2883268
494	2821242	2878237
495	2827245	2872846
496	2833151	2867354
497	2839214	2862019
498	2845144	2856548
499	2850974	2850974
500	2856052	2844650
501	2861797	2838994
502	2867313	2833111
503	2873505	2827894
504	2878916	2821908
505	2884057	2815661
506	2890520	2810703
507	2896063	2804848
508	2903313	2800642
509	2909383	2795290
510	2916249	2790696
511	2923792	2786739
512	2928737	2780302
513	2934104	2774270
514	2941467	2770120
515	2946858	2764107
516	2954214	2759933
517	2960322	2754586
518	2966716	2749500
519	2973435	2744709
520	2979239	2739070
521	2984765	2733176
522	2992379	2729187
523	2997934	2723314
524	3004091	2717987
525	3008575	2711150
526	3014362	2705490
527	3019965	2699666
528	3025474	2693759
529	3031098	2687955
530	3037310	2682671
531	3046432	2679944
532	3052469	2674490
533	3059188	2669629
534	3065133	2664087
535	3071846	2659210
536	3077770	2653645
537	3084783	2649014
538	3090442	2643217
539	3097951	2638995
540	3104159	2633658
541	3110276	2628240
542	3116604	2622998
543	3122519	2617405
544	3127451	2610991
545	3133070	2605153
546	3139770	2600212
547	3145459	2594429
548	3153291	2590408
549	3160683	2586013
550	3166618	2580420
551	3173254	2575394
552	3180245	2570650
553	3186386	2565213
554	3192326	2559612
555	3197927	2553740
556	3204583	2548708
557	3209244	2542089
558	3214846	2536220
559	3220511	2530402
560	3226830	2525095
561	3232614	2519368
562	3238656	2513842
563	3246590	2509775
564	3252141	2503861
565	3257772	2498009
566	3263835	2492487
567	3270290	2487263
568	3277303	2482456
569	3282207	2476050
570	3288139	2470423
571	3294097	2464814
572	3299940	2459117
573	3304782	2452677
574	3311681	2447764
575	3317349	2441938
576	3323192	2436239
577	3327495	2429417
578	3332596	2423183
579	3339090	2417962
580	3345769	2412869
581	3351974	2407432
582	3357861	2401763
583	3363963	2396248
584	3370043	2390714
585	3375607	2384814
586	3382064	2379544
587	3388366	2374161
588	3393613	2368039
589	3399087	2362077
590	3404468	2356053
591	3409826	2350015
592	3416123	2344624
593	3421779	2338792
594	3428430	2333637
595	3433279	2327256
596	3440070	2322191
597	3446285	2316733
598	3452210	2311079
599	3458383	2305588
600	3463910	2299667
601	3470402	2294385
602	3476039	2288536
603	3484942	2284829
604	3492096	2279963
605	3497726	2274099
606	3503458	2268302
607	3510351	2263252
608	3517031	2258061
609	3523993	2253045
610	3529276	2246953
611	3535253	2241304
612	3542258	2236303
613	3548618	2230890
614	3554677	2225285
615	3560083	2219272
616	3565054	2212991
617	3572004	2207937
618	3579374	2203136
619	3585379	2197490
620	3591952	2192190
621	3597775	2186429
622	3604747	2181364
623	3610479	2175545
624	3618225	2170935
625	3624136	2165218
626	3629712	2159302
627	3636031	2153827
628	3642694	2148552
629	3649362	2143276
630	3656103	2138038
631	3661972	2132287
632	3666821	2125945
633	3672909	2120323
634	3679219	2114827
635	3685296	2109194
636	3691768	2103786
637	3697890	2098176
638	3705355	2093323
639	3712069	2088039
640	3719317	2083049
641	3725522	2077471
642	3731597	2071820
643	3738291	2066509
644	3743922	2060608
645	3750264	2055098
646	3757436	2050038
647	3763404	2044318
648	3767576	2037625
649	3773943	2032123
650	3781829	2027432
651	3787460	2021528
652	3794337	2016286
653	3799544	2010156
654	3806038	2004707
655	3811534	1998731
656	3818229	1993383
657	3824466	1987792
658	3830792	1982246
659	3838253	1977282
660	3845225	1972059
661	3849790	1965603
662	3857308	1960652
663	3863793	1955172
664	3871017	1950061
665	3877324	1944484
666	3884047	1939111
667	3890295	1933500
668	3897052	1928138
669	3902986	1922366
670	3910420	1917330
671	3918162	1912436
672	3922520	1905890
673	3929630	1900681
674	3935490	1894865
675	3941734	1889233
676	3946896	1883083
677	3953103	1877432
678	3959100	1871681
679	3964392	1865596
680	3969964	1859645
681	3975986	1853905
682	3981603	1847976
683	3989114	1842924
684	3993808	1836568
685	3999436	1830645
686	4005111	1824745
687	4010826	1818862
688	4016946	1813164
689	4022907	1807393
690	4030044	1802147
691	4034843	1795855
692	4041892	1790564
693	4048239	1784958
694	4053266	1778771
695	4058781	1772800
696	4065363	1767295
697	4071265	1761493
698	4077283	1755740
699	4082938	1749830
700	4089235	1744195
701	4095684	1738623
702	4101207	1732657
703	4107698	1727100
704	4113975	1721450
705	4119712	1715574
706	4125441	1709694
707	4131680	1704026
708	4137237	1698076
709	4142881	1692162
710	4148917	1686409
711	4154548	1680491
712	4160140	1674558
713	4165823	1668663
714	4170769	1662474
715	4175858	1656346
716	4181542	1650455
717	4187431	1644645
718	4193236	1638803
719	4200479	1633519
720	4206401	1627719
721	4212312	1621915
722	4218649	1616273
723	4225106	1610676
724	4231913	1605208
725	4238306	1599581
726	4243399	1593463
727	4249262	1587636
728	4253547	1581222
729	4258592	1575095
730	4263768	1569020
731	4270696	1563588
732	4278667	1558532
733	4285168	1552935
734	4291181	1547160
735	4298305	1541783
736	4303175	1535597
737	4308115	1529439
738	4313831	1523558
739	4320171	1517898
740	4326359	1512182
741	4331405	1506068
742	4336369	1499928
743	4341719	1493925
744	4347160	1487954
745	4353098	1482154
746	4358872	1476298
747	4364259	1470312
748	4373096	1465483
749	4380350	1460116
750	4386958	1454530
751	4392044	1448440
752	4399568	1443152
753	4404976	1437167
754	4410463	1431209
755	4416076	1425294
756	4421575	1419343
757	4428333	1413794
758	4433759	1407820
759	4439565	1401968
760	4445418	1396130
761	4451322	1390308
762	4457638	1384613
763	4462817	1378566
764	4468835	1372779
765	4475339	1367140
766	4482635	1361739
767	4489206	1356114
768	4494857	1350210
769	4501660	1344651
770	4507131	1338693
771	4514462	1333286
772	4518647	1326950
773	4525325	1321348
774	4531638	1315636
775	4537114	1309682
776	4543661	1304036
777	4549800	1298272
778	4554673	1292147
779	4560636	1286333
780	4566477	1280484
781	4572198	1274602
782	4577388	1268573
783	4583209	1262720
784	4590297	1257215
785	4599109	1252174
786	4603908	1246038
787	4609386	1240088
788	4614923	1234155
789	4622188	1228682
790	4628850	1223046
791	4636166	1217579
792	4642851	1211942
793	4648815	1206115
794	4654725	1200275
795	4661432	1194638
796	4666417	1188560
797	4671811	1182588
798	4677896	1176792
799	4682331	1170582
800	4689094	1164956
801	4694056	1158881
802	4700554	1153187
803	4706521	1147360
804	4712273	1141482
805	4717177	1135400
806	4723781	1129727
807	4730526	1124085
808	4736363	1118226
809	4742048	1112332
810	4747318	1106341
811	4751962	1100208
812	4757540	1094292
813	4763473	1088459
814	4768962	1082525
815	4774426	1076586
816	4781535	1071017
817	4786978	1065073
818	4794018	1059483
819	4800510	1053770
820	4806800	1048011
821	4812191	1042056
822	4817645	1036115
823	4823637	1030291
824	4830302	1024609
825	4835876	1018695
826	4840184	1012517
827	4844850	1006418
828	4851479	1000727
829	4856994	994806
830	4862904	988966
831	4869241	983212
832	4874601	977261
833	4879400	971199
834	4884743	965248
835	4889941	959270
836	4894237	953119
837	4900619	947375
838	4906631	941558
839	4913033	935815
840	4922036	930563
841	4929307	924976
842	4935013	919095
843	4940068	913093
844	4945935	907242
845	4951689	901371
846	4957645	895536
847	4964528	889868
848	4971156	884151
849	4976872	878271
850	4982555	872386
851	4988962	866627
852	4995248	860845
853	5001158	854998
854	5008863	849456
855	5014073	843488
856	5020346	837700
857	5025957	831801
858	5032535	826062
859	5038447	820212
860	5044203	814337
861	5050975	808624
862	5056911	802777
863	5062301	796843
864	5068421	791025
865	5074054	785130
866	5079584	779221
867	5085437	773361
868	5092163	767633
869	5097888	761753
870	5103948	755923
871	5109909	750078
872	5115103	744121
873	5121054	738275
874	5128750	732678
875	5133381	726643
876	5139354	720798
877	5144370	714821
878	5149857	708911
879	5155320	702998
880	5161372	697166
881	5166986	691274
882	5173455	685497
883	5180076	679738
884	5185532	673826
885	5191346	667961
886	5196617	662026
887	5202654	656190
888	5209422	650445
889	5214861	644533
890	5221937	638822
891	5227335	632906
892	5234177	627163
893	5240202	621321
894	5245993	615451
895	5252221	609632
896	5258858	603859
897	5264779	598003
898	5271346	592220
899	5276181	586242
900	5282322	580410
901	5287830	574509
902	5293483	568624
903	5298987	562724
904	5304369	556812
905	5310592	550988
906	5318789	545366
907	5324040	539440
908	5330067	533593
909	5335346	527671
910	5341002	521788
911	5346594	515899
912	5352316	510023
913	5358448	504186
914	5364027	498297
915	5369922	492438
916	5375997	486595
917	5381695	480717
918	5386521	474764
919	5392377	468902
920	5396403	462883
921	5400704	456892
922	5407740	451133
923	5414154	445320
924	5419153	439390
925	5425698	433587
926	5431013	427685
927	5439231	422009
928	5444787	416124
929	5450546	410256
930	5457589	404483
931	5463160	398599
932	5470642	392854
933	5476409	386983
934	5482996	381170
935	5488768	375300
936	5493384	369352
937	5498560	363444
938	5504690	357599
939	5510755	351750
940	5516198	345861
941	5522218	340009
942	5527759	334127
943	5533271	328244
944	5537934	322313
945	5543204	316419
946	5548384	310522
947	5553967	304647
948	5559565	298775
949	5565785	292936
950	5571785	287084
951	5577148	281200
952	5582742	275329
953	5588151	269449
954	5593745	263579
955	5600551	257765
956	5606623	251917
957	5611781	246027
958	5619223	240237
959	5624298	234345
960	5629094	228444
961	5635241	222597
962	5641599	216759
963	5647242	210892
964	5653073	205033
965	5659247	199186
966	5663913	193287
967	5669598	187424
968	5675142	181557
969	5682610	175750
970	5687207	169854
971	5692385	163978
972	5698546	158130
973	5704824	152284
974	5710348	146419
975	5717004	140582
976	5722526	134716
977	5728717	128866
978	5733230	122980
979	5738844	117119
980	5747049	111308
981	5753173	105455
982	5758618	99589
983	5764779	93736
984	5770776	87879
985	5778332	82045
986	5782619	76164
987	5789809	70321
988	5795792	64462
989	5802156	58607
990	5809107	52756
991	5815163	46896
992	5820820	41032
993	5826299	35168
994	5831626	29304
995	5837160	23442
996	5843626	17583
997	5849498	11722
998	5856013	5861
999	5861625	0
